                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.0285,                 2.0239,                 1.0415,                 1.2691,                0.80652,                0.71744,                0.78007,                0.58507,                0.70799,                0.57675,                0.56545,                0.43072,                 1.0684,                 2.3866,                 1.0384,                 1.2067,              0.0011881,              0.0011881,              0.0011881
                     12,                 1.0146,                 2.0173,                 1.0074,                 1.2535,                0.86142,                0.73023,                0.79891,                0.60347,                0.72417,                 0.6102,                0.55938,                0.43512,                 1.0163,                 2.4073,                0.99384,                 1.1538,              0.0011819,              0.0011819,              0.0011819
                     13,                0.99644,                 1.9709,                0.99399,                 1.2509,                0.83866,                0.77024,                0.82572,                0.60284,                0.71025,                0.64312,                0.59613,                0.44161,                 1.0944,                  2.249,                0.97384,                 1.1756,              0.0011757,              0.0011757,              0.0011757
                     14,                 1.0045,                 1.9397,                 0.9884,                 1.2554,                0.82549,                0.76587,                 0.8278,                0.63392,                0.69208,                0.64862,                0.58933,                0.44858,                0.99329,                 2.1674,                0.93749,                 1.1466,              0.0011696,              0.0011696,              0.0011696
                     15,                 1.0295,                 1.9701,                0.97355,                 1.2631,                0.80403,                0.76308,                0.80452,                0.60722,                0.68112,                0.64753,                0.59244,                0.45431,                   1.01,                 2.1665,                0.93904,                 1.1575,              0.0011634,              0.0011634,              0.0011634
                     16,                0.98604,                 1.8605,                0.93293,                 1.2303,                0.84263,                0.75864,                0.82431,                0.62815,                0.71341,                0.63556,                0.59533,                0.45184,                 1.0182,                  2.062,                0.92609,                 1.1124,              0.0011572,              0.0011572,              0.0011572
                     17,                0.95304,                 1.7995,                0.89361,                 1.2227,                0.86306,                0.73689,                0.80896,                0.57273,                0.70951,                0.62348,                0.56896,                0.38217,                  1.063,                 2.2062,                 0.9427,                 1.1544,               0.001151,               0.001151,               0.001151
                     18,                0.96362,                 1.8046,                0.89456,                 1.2163,                0.91014,                0.75416,                0.84399,                0.62645,                0.76742,                0.63619,                 0.6062,                0.44056,                 1.0539,                 2.0037,                 0.8732,                 1.1139,              0.0011448,              0.0011448,              0.0011448
                     19,                0.95883,                  1.783,                0.86697,                 1.2129,                0.88022,                0.76412,                0.84625,                0.63184,                0.69884,                0.66382,                0.60995,                0.45432,                0.99768,                 1.9885,                0.88552,                 1.1422,              0.0011386,              0.0011386,              0.0011386
                     20,                0.94132,                 1.7736,                0.84882,                 1.2014,                0.89611,                0.79178,                0.86343,                 0.6634,                0.77645,                0.66348,                0.63542,                0.48526,                 0.9127,                 1.8386,                0.78371,                 1.0804,              0.0011324,              0.0011324,              0.0011324
                     21,                0.93385,                 1.7108,                0.84855,                  1.202,                0.90586,                0.79813,                0.86416,                0.63914,                0.74396,                0.68855,                0.63592,                0.46385,                0.97592,                 1.9119,                0.80798,                 1.1085,              0.0011263,              0.0011263,              0.0011263
                     22,                0.91249,                 1.6828,                0.81821,                   1.18,                0.89547,                0.81543,                0.85882,                0.66356,                0.75387,                0.68606,                0.62234,                 0.4596,                0.90505,                 1.9519,                0.83384,                 1.0784,              0.0011201,              0.0011201,              0.0011201
                     23,                0.91651,                 1.6174,                0.80828,                 1.1867,                0.87748,                0.83742,                0.87366,                0.68527,                0.74521,                0.69898,                0.62676,                0.47843,                0.91464,                 1.8485,                0.79088,                 1.0932,              0.0011139,              0.0011139,              0.0011139
                     24,                0.91355,                 1.6465,                0.80443,                 1.1922,                0.89822,                0.80693,                 0.8671,                0.65142,                0.74731,                0.69539,                0.63136,                0.46731,                0.94447,                 1.8418,                0.79876,                 1.0811,              0.0011077,              0.0011077,              0.0011077
                     25,                0.90121,                 1.6235,                0.77921,                 1.1824,                0.90247,                0.82481,                0.87773,                0.68049,                0.77627,                0.67936,                0.63399,                0.47347,                0.90478,                 1.8356,                0.76364,                 1.0566,              0.0011015,              0.0011015,              0.0011015
                     26,                0.89675,                   1.62,                0.79349,                 1.1765,                0.90443,                0.82665,                0.87151,                0.67259,                0.75175,                0.69573,                0.63598,                0.46585,                0.91439,                 1.8197,                0.77582,                 1.0776,              0.0010953,              0.0010953,              0.0010953
                     27,                0.89268,                 1.5401,                0.76727,                 1.1736,                0.91359,                 0.8267,                0.87181,                0.68261,                0.77734,                0.69685,                0.62882,                0.47514,                0.90996,                 1.8175,                0.75461,                 1.0735,              0.0010891,              0.0010891,              0.0010891
                     28,                0.90231,                 1.6064,                0.77193,                 1.1794,                 0.9041,                0.82461,                0.87133,                0.67821,                0.76619,                0.69598,                0.63191,                0.46334,                0.91003,                 1.9007,                0.78436,                 1.0777,              0.0010829,              0.0010829,              0.0010829
                     29,                0.88763,                 1.5567,                0.74986,                 1.1763,                0.90875,                0.82718,                0.86939,                 0.6931,                0.77684,                0.70709,                0.64125,                0.48604,                0.81918,                 1.7774,                0.71215,                 1.0284,              0.0010768,              0.0010768,              0.0010768
                     30,                 0.8669,                 1.5248,                0.74554,                 1.1567,                  0.924,                0.81157,                0.87814,                0.68305,                0.77989,                0.68877,                0.65341,                 0.4932,                0.89939,                 1.8052,                0.74309,                 1.0537,              0.0010706,              0.0010706,              0.0010706
                     31,                0.86578,                 1.5377,                 0.7432,                 1.1711,                0.90669,                0.83893,                0.88214,                0.69922,                0.77078,                0.71474,                0.66445,                0.50166,                0.80547,                 1.6549,                0.69455,                  1.017,              0.0010644,              0.0010644,              0.0010644
                     32,                0.86067,                 1.5335,                0.72655,                 1.1534,                0.91405,                 0.8435,                0.87748,                0.69673,                0.77627,                0.71201,                0.63801,                0.48715,                0.81366,                 1.7616,                0.70027,                 1.0037,              0.0010582,              0.0010582,              0.0010582
                     33,                0.84295,                 1.4833,                0.71808,                 1.1437,                 0.9017,                0.84364,                0.88662,                0.70593,                0.76254,                0.71266,                0.65729,                0.51409,                0.84326,                 1.6094,                0.69563,                 1.0371,               0.001052,               0.001052,               0.001052
                     34,                0.85282,                  1.497,                0.71448,                  1.151,                0.94385,                0.82293,                0.89011,                0.71932,                0.80135,                0.70492,                0.65556,                0.50153,                0.80991,                 1.5995,                0.67004,                  1.003,              0.0010458,              0.0010458,              0.0010458
                     35,                0.85754,                 1.4632,                0.72193,                 1.1588,                0.91594,                0.84634,                0.88817,                0.69138,                 0.7723,                   0.71,                0.64292,                0.47885,                0.84425,                 1.6933,                0.70962,                 1.0269,              0.0010396,              0.0010396,              0.0010396
                     36,                0.83838,                 1.4639,                0.71654,                 1.1454,                0.92454,                0.84833,                 0.8937,                0.69511,                 0.7695,                0.70443,                 0.6403,                0.48243,                0.84826,                 1.6501,                 0.6705,                 1.0256,              0.0010334,              0.0010334,              0.0010334
                     37,                0.82591,                 1.4048,                0.69222,                 1.1251,                0.90622,                0.85122,                0.88492,                0.70158,                 0.7697,                0.71726,                0.65404,                0.49283,                0.83173,                 1.6532,                0.71044,                 1.0286,              0.0010273,              0.0010273,              0.0010273
                     38,                0.83435,                 1.4498,                0.69408,                 1.1276,                0.88293,                0.86061,                 0.8891,                0.71128,                0.75297,                0.72351,                0.66749,                 0.5116,                0.81886,                  1.688,                0.66073,                 1.0087,              0.0010211,              0.0010211,              0.0010211
                     39,                0.83464,                 1.4492,                0.69497,                 1.1302,                0.91888,                0.84335,                0.88375,                0.71125,                0.77771,                 0.7118,                0.65483,                0.48916,                0.82857,                 1.6334,                 0.6625,                 1.0162,              0.0010149,              0.0010149,              0.0010149
                     40,                0.83861,                 1.4187,                0.69326,                 1.1455,                0.86439,                0.87199,                0.88833,                0.72439,                0.75212,                0.71813,                0.65765,                0.50106,                0.77369,                 1.4976,                 0.6495,                 1.0189,              0.0010087,              0.0010087,              0.0010087
                     41,                0.81305,                 1.4153,                0.67185,                 1.1153,                0.92928,                0.85816,                0.89182,                0.73753,                0.78997,                 0.7288,                0.66027,                0.51024,                0.73434,                 1.5679,                0.64512,                0.97125,              0.0010025,              0.0010025,              0.0010025
                     42,                0.80652,                 1.3663,                0.66499,                 1.1222,                0.92934,                0.87106,                 0.8944,                0.74078,                0.79531,                0.74174,                0.67584,                0.51577,                0.76094,                 1.5276,                0.64755,                 0.9991,             0.00099631,             0.00099631,             0.00099631
                     43,                0.80959,                  1.418,                0.66993,                 1.1106,                0.90503,                0.86089,                0.89647,                 0.7016,                0.75904,                0.72136,                 0.6585,                0.49187,                0.85184,                 1.6353,                0.66013,                 1.0136,             0.00099013,             0.00099013,             0.00099013
                     44,                0.82589,                 1.4246,                0.68052,                 1.1233,                0.91595,                0.85234,                0.88667,                 0.7138,                0.77692,                0.71548,                0.65969,                0.49885,                0.78622,                 1.6567,                0.64568,                0.98182,             0.00098394,             0.00098394,             0.00098394
                     45,                0.80032,                 1.3974,                0.65486,                 1.1094,                0.92755,                0.86531,                0.89707,                0.72748,                0.79061,                0.73907,                0.67004,                0.51028,                 0.7574,                 1.5697,                0.63099,                0.97918,             0.00097775,             0.00097775,             0.00097775
                     46,                0.80684,                 1.3991,                 0.6693,                 1.1247,                 0.9381,                0.85944,                0.89602,                0.70621,                0.78457,                 0.7152,                0.65761,                0.48914,                0.81261,                 1.5883,                0.66319,                 1.0054,             0.00097156,             0.00097156,             0.00097156
                     47,                0.81217,                 1.3839,                0.66468,                 1.1214,                0.92793,                0.85761,                0.89483,                 0.7027,                0.78149,                0.72466,                0.66022,                0.47925,                0.80656,                 1.6905,                0.65305,                 0.9924,             0.00096537,             0.00096537,             0.00096537
                     48,                0.79657,                 1.3479,                0.65229,                 1.1158,                0.93318,                0.85288,                0.89798,                0.72892,                0.80025,                0.71859,                0.67324,                0.50366,                0.72581,                 1.4684,                0.60636,                0.96471,             0.00095919,             0.00095919,             0.00095919
                     49,                0.77811,                 1.3306,                0.64003,                 1.0908,                0.93143,                0.86178,                0.89649,                0.71863,                0.79418,                0.72684,                0.67904,                 0.5082,                0.76032,                 1.5071,                0.60344,                0.97176,               0.000953,               0.000953,               0.000953
                     50,                0.80554,                 1.3565,                0.65557,                 1.1191,                0.92395,                0.85907,                0.89342,                0.70409,                0.78728,                0.72365,                0.66163,                0.48249,                0.83368,                 1.6565,                0.62537,                 1.0021,             0.00094681,             0.00094681,             0.00094681
                     51,                  0.783,                 1.3221,                0.64102,                 1.1056,                0.93369,                0.86272,                0.89515,                0.71087,                0.79152,                0.73517,                0.66763,                0.49843,                0.81122,                 1.4969,                 0.6356,                0.98866,             0.00094062,             0.00094062,             0.00094062
                     52,                0.78385,                 1.3313,                0.64162,                 1.1049,                0.94579,                0.86347,                0.89864,                0.73845,                 0.7924,                0.72375,                0.66612,                0.51815,                0.72997,                 1.4391,                0.62705,                 0.9603,             0.00093444,             0.00093444,             0.00093444
                     53,                0.78913,                 1.2897,                0.63651,                 1.1106,                0.89793,                0.86475,                0.88842,                0.73685,                0.76011,                0.74073,                0.66796,                0.51747,                0.71666,                 1.5206,                0.61398,                0.96224,             0.00092825,             0.00092825,             0.00092825
                     54,                0.79532,                 1.2981,                0.64271,                 1.1161,                0.92134,                0.85435,                0.88975,                0.72515,                0.77532,                0.72141,                0.66199,                0.50225,                0.76906,                 1.5505,                0.62384,                0.98056,             0.00092206,             0.00092206,             0.00092206
                     55,                0.78223,                 1.3289,                0.64681,                 1.1084,                0.92954,                0.86525,                 0.9002,                0.72281,                0.77582,                0.71657,                0.64442,                0.49253,                0.79498,                 1.6795,                0.64138,                0.98015,             0.00091588,             0.00091588,             0.00091588
                     56,                0.77825,                 1.2974,                0.63574,                 1.1021,                0.91292,                0.87822,                 0.9034,                0.73389,                0.77245,                0.74739,                0.67706,                0.50894,                0.76651,                 1.4353,                 0.6381,                0.98646,             0.00090969,             0.00090969,             0.00090969
                     57,                0.77582,                 1.3008,                0.62874,                 1.1062,                0.91834,                0.86837,                0.90139,                0.73613,                0.79966,                0.72708,                0.66704,                0.50939,                0.74531,                 1.4586,                0.60753,                0.96204,              0.0009035,              0.0009035,              0.0009035
                     58,                0.78074,                 1.2889,                0.62049,                 1.1043,                0.95015,                0.86598,                0.90342,                0.73147,                0.80846,                0.73645,                0.67917,                0.51707,                0.73082,                 1.4973,                0.59033,                0.95563,             0.00089731,             0.00089731,             0.00089731
                     59,                0.77658,                 1.2533,                0.62028,                 1.1058,                0.93084,                0.86324,                0.90311,                0.71041,                0.78513,                0.72318,                0.66706,                0.48499,                0.80908,                 1.4642,                0.58773,                0.97048,             0.00089112,             0.00089112,             0.00089112
                     60,                0.76944,                 1.2798,                0.61809,                 1.0958,                0.94548,                0.86692,                0.90485,                0.71707,                0.79511,                0.72636,                0.68057,                0.50881,                0.77774,                 1.5242,                0.59453,                0.98756,             0.00088494,             0.00088494,             0.00088494
                     61,                0.75702,                 1.2375,                0.60553,                 1.0935,                0.93642,                0.87558,                 0.9004,                0.74617,                0.79322,                 0.7357,                0.67198,                0.53111,                0.71636,                 1.3918,                0.61004,                0.96336,             0.00087875,             0.00087875,             0.00087875
                     62,                 0.7603,                 1.2545,                0.60745,                 1.0909,                0.93141,                0.86975,                0.90087,                0.72197,                0.78475,                0.73507,                0.67062,                0.49743,                0.76759,                 1.5429,                0.57687,                 0.9623,             0.00087256,             0.00087256,             0.00087256
                     63,                0.75705,                 1.2471,                0.60354,                 1.0883,                0.95052,                0.87769,                0.90108,                0.69995,                0.79339,                0.72193,                0.65771,                0.48534,                0.84022,                 1.6477,                 0.6072,                0.97443,             0.00086637,             0.00086637,             0.00086637
                     64,                0.74662,                 1.2439,                0.60222,                 1.0815,                0.94218,                0.86655,                0.90241,                0.75469,                0.79887,                0.73507,                0.66649,                0.51115,                0.67206,                 1.3958,                0.56954,                0.94086,             0.00086019,             0.00086019,             0.00086019
                     65,                0.75349,                 1.2426,                0.59886,                 1.0906,                0.94822,                0.88861,                0.90841,                0.72665,                0.79071,                0.74046,                0.66558,                0.49386,                0.78192,                 1.5914,                0.57697,                0.98631,               0.000854,               0.000854,               0.000854
                     66,                0.74672,                 1.2105,                0.60061,                 1.0887,                0.93644,                0.85968,                0.89405,                0.72077,                0.79939,                0.73391,                0.67691,                0.49399,                0.72938,                 1.4993,                0.56909,                0.94496,             0.00084781,             0.00084781,             0.00084781
                     67,                0.75842,                 1.2285,                 0.6081,                 1.0931,                0.90745,                0.89204,                0.91257,                0.74119,                0.78609,                0.73905,                0.68649,                0.52895,                0.67724,                 1.4431,                0.55697,                0.93367,             0.00084162,             0.00084162,             0.00084162
                     68,                0.73946,                 1.2195,                0.59651,                 1.0861,                  0.928,                0.85934,                0.89302,                0.75232,                0.79463,                0.73299,                 0.6718,                0.52599,                 0.6689,                 1.5166,                0.57108,                0.93248,             0.00083544,             0.00083544,             0.00083544
                     69,                0.74051,                 1.1807,                0.59446,                 1.0888,                 0.9389,                0.89124,                0.91007,                 0.7457,                0.80171,                0.74407,                0.67885,                0.51001,                0.68838,                 1.3672,                0.56167,                0.94494,             0.00082925,             0.00082925,             0.00082925
                     70,                0.74972,                 1.2392,                0.59852,                 1.0845,                0.93903,                0.89109,                0.90443,                 0.7164,                0.79834,                0.73629,                0.66735,                 0.4935,                0.77784,                 1.5801,                0.58927,                0.95615,             0.00082306,             0.00082306,             0.00082306
                     71,                 0.7492,                 1.2649,                0.59365,                 1.0846,                0.94878,                  0.879,                 0.9105,                0.71115,                0.80222,                0.74397,                0.67627,                0.49397,                0.76099,                 1.4743,                0.56767,                0.96409,             0.00081688,             0.00081688,             0.00081688
                     72,                0.73031,                 1.2004,                0.57923,                 1.0776,                0.93896,                0.85808,                0.90252,                0.74596,                0.80866,                0.73681,                0.69024,                0.53172,                   0.69,                 1.3897,                0.54481,                0.93284,             0.00081069,             0.00081069,             0.00081069
                     73,                0.71245,                 1.1747,                0.56686,                 1.0588,                 0.9227,                0.89128,                0.90608,                0.74674,                0.78466,                0.74595,                0.68363,                0.51985,                 0.7039,                  1.317,                0.54555,                0.93704,              0.0008045,              0.0008045,              0.0008045
                     74,                0.73105,                 1.2062,                0.58069,                 1.0773,                 0.9368,                0.87952,                0.90619,                0.73108,                0.79932,                0.74072,                0.68051,                0.50222,                0.76704,                 1.4176,                0.56605,                0.95675,             0.00079831,             0.00079831,             0.00079831
                     75,                0.73387,                 1.1867,                0.58153,                 1.0791,                0.93195,                0.88526,                0.91242,                0.74315,                0.79819,                0.74536,                0.67917,                0.51168,                0.72518,                 1.3062,                0.55246,                0.93341,             0.00079213,             0.00079213,             0.00079213
                     76,                0.73158,                 1.2133,                0.58249,                 1.0715,                 0.9411,                0.88645,                0.90738,                 0.7489,                0.80673,                0.75611,                0.68562,                0.52042,                0.69694,                 1.3408,                0.56994,                0.91849,             0.00078594,             0.00078594,             0.00078594
                     77,                 0.7443,                  1.213,                0.58697,                 1.0875,                0.92831,                 0.8735,                0.90946,                 0.7352,                0.78428,                0.73167,                0.67616,                0.52547,                0.75119,                 1.4156,                0.60632,                0.94405,             0.00077975,             0.00077975,             0.00077975
                     78,                 0.7472,                 1.2291,                0.59162,                 1.0816,                 0.9354,                0.88462,                0.90833,                0.75525,                 0.7959,                0.74982,                0.68355,                0.51222,                0.68722,                 1.3504,                0.56537,                0.93151,             0.00077356,             0.00077356,             0.00077356
                     79,                0.72121,                 1.1834,                0.58029,                 1.0694,                0.92505,                0.87322,                0.90675,                0.74584,                0.77888,                0.73793,                0.67603,                0.52243,                0.72374,                 1.2817,                0.56738,                0.94793,             0.00076738,             0.00076738,             0.00076738
                     80,                0.71249,                 1.1695,                0.57033,                 1.0663,                0.92899,                0.89202,                0.90744,                0.75615,                0.78737,                 0.7529,                 0.6833,                0.52372,                0.68892,                 1.3657,                0.53053,                0.91961,             0.00076119,             0.00076119,             0.00076119
                     81,                0.71316,                 1.1575,                0.57099,                  1.065,                0.92826,                0.88241,                0.90783,                0.76986,                0.79687,                0.75155,                0.68842,                0.53424,                0.67091,                 1.2961,                 0.5794,                0.92679,               0.000755,               0.000755,               0.000755
                     82,                0.71653,                 1.1902,                0.57212,                 1.0594,                0.92014,                0.89577,                0.91276,                0.75337,                0.78166,                0.75889,                0.68534,                0.52546,                0.71118,                 1.4032,                0.54211,                 0.9301,             0.00074881,             0.00074881,             0.00074881
                     83,                 0.7196,                 1.2055,                0.56976,                 1.0681,                 0.9348,                0.88322,                0.90872,                0.75863,                0.79747,                 0.7461,                0.67577,                0.51939,                0.70849,                 1.4619,                0.54915,                0.93136,             0.00074263,             0.00074263,             0.00074263
                     84,                0.72283,                 1.1655,                0.56394,                 1.0685,                0.94354,                0.88448,                0.91184,                0.75956,                0.79798,                0.75517,                0.68837,                0.52269,                0.67021,                 1.3573,                 0.5308,                0.91803,             0.00073644,             0.00073644,             0.00073644
                     85,                0.71228,                 1.1773,                0.57125,                 1.0635,                0.94345,                0.88873,                0.91817,                0.76061,                0.79963,                0.75425,                0.68925,                0.52945,                0.68436,                  1.293,                0.52391,                0.92182,             0.00073025,             0.00073025,             0.00073025
                     86,                0.70676,                 1.1375,                0.55857,                 1.0637,                 0.9441,                0.88984,                0.91558,                0.75768,                0.80114,                 0.7334,                0.68297,                 0.5268,                0.68337,                 1.3826,                0.53133,                0.92421,             0.00072406,             0.00072406,             0.00072406
                     87,                0.70919,                 1.1363,                 0.5596,                 1.0648,                   0.94,                0.89062,                0.91465,                0.76228,                0.79624,                0.75394,                0.68556,                0.53248,                 0.6739,                 1.2985,                0.53423,                0.92914,             0.00071788,             0.00071788,             0.00071788
                     88,                0.70236,                 1.1305,                0.55856,                 1.0626,                0.92635,                0.89715,                0.91715,                 0.7748,                0.81043,                0.74192,                0.69417,                0.53656,                 0.6458,                 1.3998,                0.50915,                0.91138,             0.00071169,             0.00071169,             0.00071169
                     89,                 0.6912,                  1.122,                0.54923,                 1.0548,                0.95502,                0.89368,                0.91453,                0.77243,                0.80459,                0.75134,                0.68958,                  0.532,                0.63758,                 1.2495,                 0.5082,                0.90595,              0.0007055,              0.0007055,              0.0007055
                     90,                0.69655,                 1.1414,                0.55386,                 1.0527,                0.92962,                0.89478,                0.91412,                0.75999,                0.79974,                0.76878,                0.70192,                 0.5377,                0.66734,                 1.2745,                0.57168,                0.92076,             0.00069931,             0.00069931,             0.00069931
                     91,                0.70287,                 1.1295,                0.55539,                  1.063,                 0.9487,                0.88885,                0.91265,                0.75872,                0.82619,                0.75061,                0.68754,                0.52924,                0.69107,                 1.3839,                 0.5356,                0.92247,             0.00069313,             0.00069313,             0.00069313
                     92,                0.69264,                 1.1378,                0.54511,                 1.0463,                0.95083,                0.88977,                0.91299,                0.74079,                0.80955,                0.74299,                0.67857,                0.50413,                0.74102,                 1.4812,                0.54506,                0.93069,             0.00068694,             0.00068694,             0.00068694
                     93,                0.69579,                 1.1193,                0.54889,                 1.0576,                0.95003,                0.88622,                0.91358,                0.76709,                0.80526,                0.76545,                0.69211,                0.53046,                0.66376,                 1.3255,                0.52748,                0.90755,             0.00068075,             0.00068075,             0.00068075
                     94,                0.70233,                 1.1265,                0.54831,                 1.0569,                0.92741,                0.89552,                0.91229,                  0.766,                0.80002,                0.76179,                0.68836,                0.53023,                0.66897,                 1.3033,                0.52492,                0.91535,             0.00067456,             0.00067456,             0.00067456
                     95,                0.69347,                 1.1022,                0.53576,                 1.0546,                0.93551,                0.88272,                0.91328,                0.76971,                0.79454,                0.74855,                0.69478,                0.53899,                0.63364,                 1.2041,                0.52276,                0.90215,             0.00066838,             0.00066838,             0.00066838
                     96,                0.69349,                 1.1321,                0.54304,                 1.0435,                0.96379,                0.88581,                 0.9175,                0.76475,                 0.8183,                0.75378,                0.68754,                0.53064,                0.67859,                 1.2807,                0.51891,                0.91706,             0.00066219,             0.00066219,             0.00066219
                     97,                 0.6849,                 1.0978,                0.54499,                  1.049,                0.89736,                0.90916,                0.91412,                0.77747,                0.81124,                 0.7429,                0.69808,                0.53596,                0.63207,                 1.3645,                0.51574,                0.91494,               0.000656,               0.000656,               0.000656
                     98,                0.70031,                 1.1314,                0.54565,                 1.0556,                  0.927,                0.89826,                0.91382,                0.76964,                0.78831,                0.76608,                0.69745,                0.53372,                0.65939,                 1.2811,                0.52311,                0.91352,             0.00064981,             0.00064981,             0.00064981
                     99,                0.69919,                 1.1165,                0.55016,                 1.0583,                0.94696,                0.89611,                0.91668,                0.76311,                0.80955,                0.75181,                 0.6871,                0.52747,                0.68803,                 1.4393,                0.52919,                   0.92,             0.00064362,             0.00064362,             0.00064362
                    100,                0.69516,                 1.1231,                0.55197,                 1.0582,                0.93957,                0.89412,                0.91206,                0.76875,                0.80837,                0.76084,                0.69306,                0.53028,                 0.6291,                 1.2688,                0.51691,                0.91373,             0.00063744,             0.00063744,             0.00063744
                    101,                0.69318,                 1.0994,                0.55171,                 1.0587,                0.95451,                0.89024,                  0.918,                 0.7718,                0.82401,                0.75497,                0.69224,                0.52648,                0.64176,                 1.3493,                0.52026,                0.90337,             0.00063125,             0.00063125,             0.00063125
                    102,                0.68983,                 1.1019,                0.54342,                 1.0489,                0.93978,                0.89865,                0.91465,                0.77257,                0.81183,                0.74082,                0.68703,                0.53151,                0.66643,                 1.3879,                0.51842,                0.91185,             0.00062506,             0.00062506,             0.00062506
                    103,                0.68788,                 1.1158,                 0.5334,                 1.0466,                0.94612,                0.87246,                0.90755,                0.76696,                0.80242,                0.72906,                0.67248,                0.52096,                0.66275,                 1.3288,                0.52511,                0.90794,             0.00061887,             0.00061887,             0.00061887
                    104,                0.66822,                 1.0837,                0.53537,                 1.0464,                0.92159,                0.89617,                0.91611,                 0.7737,                0.77694,                0.76145,                0.68854,                 0.5287,                0.63728,                 1.3051,                0.49884,                0.90551,             0.00061269,             0.00061269,             0.00061269
                    105,                0.68055,                 1.1061,                0.53176,                 1.0441,                0.92164,                0.89163,                0.91678,                0.77212,                0.81544,                0.73937,                0.69873,                0.53592,                0.63755,                 1.3077,                0.49988,                0.90145,              0.0006065,              0.0006065,              0.0006065
                    106,                0.69353,                 1.1141,                0.54641,                 1.0575,                0.94902,                0.89268,                0.91356,                 0.7528,                 0.8092,                 0.7535,                0.68227,                0.51452,                0.70497,                 1.3923,                0.53675,                0.92151,             0.00060031,             0.00060031,             0.00060031
                    107,                0.67047,                 1.0862,                0.52942,                 1.0436,                0.94089,                 0.8909,                0.91571,                0.78298,                0.83086,                0.76573,                  0.706,                0.54127,                0.60945,                 1.2204,                0.49788,                0.89214,             0.00059413,             0.00059413,             0.00059413
                    108,                0.67561,                 1.0967,                0.52475,                  1.039,                0.95144,                0.90157,                0.91865,                0.76854,                0.81585,                0.75822,                0.69197,                0.52488,                0.66474,                 1.4257,                0.50596,                0.89662,             0.00058794,             0.00058794,             0.00058794
