                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.436,                 3.6998,                 2.9446,                 1.6558,                0.45792,                0.26413,                0.18165,                0.08904,                0.42412,                0.22001,                0.13421,                0.06955,                 1.6871,                 3.6747,                 2.6242,                 1.7328,             0.00041454,             0.00041454,             0.00041454
                      2,                 1.3832,                 2.9095,                 1.9648,                 1.5484,                0.62324,                0.35772,                0.40059,                0.24395,                0.61289,                0.25955,                 0.2682,                0.16362,                 1.4591,                 3.4288,                 1.8642,                 1.4592,             0.00082709,             0.00082709,             0.00082709
                      3,                 1.2797,                 2.7074,                 1.6632,                 1.4801,                0.64094,                0.52243,                0.58824,                0.40703,                0.51465,                 0.3963,                0.39864,                0.28761,                 1.3351,                 3.1555,                 1.6854,                 1.4783,              0.0012355,              0.0012355,              0.0012355
                      4,                 1.2449,                 2.5918,                 1.5203,                 1.4413,                0.71051,                0.58831,                0.65692,                0.45996,                0.66137,                0.50188,                0.51403,                0.36851,                 1.2702,                 3.0037,                 1.4379,                 1.3548,              0.0012314,              0.0012314,              0.0012314
                      5,                 1.1731,                 2.4703,                 1.3954,                 1.3889,                0.77533,                0.63251,                0.69898,                0.47094,                0.64915,                0.52494,                0.51163,                0.34502,                  1.254,                 3.3051,                 1.4488,                 1.3544,              0.0012252,              0.0012252,              0.0012252
                      6,                 1.1399,                  2.412,                 1.3133,                 1.3551,                0.76534,                 0.6663,                0.72801,                0.50032,                0.60838,                0.51623,                0.45653,                0.30477,                 1.2979,                 2.8564,                 1.3178,                 1.2973,              0.0012191,              0.0012191,              0.0012191
                      7,                 1.0726,                 2.3046,                 1.2083,                 1.3071,                0.75406,                0.69754,                0.73846,                0.56246,                0.64231,                0.56854,                0.53561,                0.40676,                 1.0423,                 2.5675,                 1.1619,                 1.2524,              0.0012129,              0.0012129,              0.0012129
                      8,                  1.099,                 2.2538,                 1.1787,                 1.3266,                0.80621,                0.69556,                0.77616,                0.53463,                0.63425,                0.56273,                0.51517,                0.36666,                 1.1616,                 2.8424,                 1.1434,                 1.2418,              0.0012067,              0.0012067,              0.0012067
                      9,                 1.0629,                 2.1847,                 1.1278,                 1.3027,                 0.7875,                0.72544,                0.77337,                0.54354,                0.69733,                0.56399,                0.53795,                0.38314,                 1.2111,                 2.5048,                 1.1217,                 1.2697,              0.0012005,              0.0012005,              0.0012005
                     10,                 1.0489,                 2.1463,                 1.0988,                 1.2802,                0.86616,                0.66234,                0.79029,                0.59411,                0.71182,                0.52646,                0.53665,                0.41074,                 1.0273,                  2.566,                 1.0709,                 1.1403,              0.0011943,              0.0011943,              0.0011943
