                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.90473,                 1.5774,                0.77272,                  1.185,                0.89567,                0.83474,                 0.8702,                0.66274,                0.75685,                0.71195,                0.63517,                0.46191,                0.95419,                 1.8778,                0.73043,                 1.0962,             0.00096537,             0.00096537,             0.00096537
                     25,                0.88488,                 1.5614,                0.74525,                 1.1725,                0.91908,                0.83047,                0.87971,                0.68784,                0.77721,                0.70348,                 0.6399,                 0.4878,                0.85988,                  1.741,                0.72131,                 1.0615,               0.000953,               0.000953,               0.000953
                     26,                0.88561,                 1.5849,                0.76226,                 1.1725,                 0.8981,                0.84312,                0.88188,                0.69625,                0.76488,                0.71562,                0.65353,                0.49279,                0.84827,                 1.8075,                0.71432,                 1.0344,             0.00094062,             0.00094062,             0.00094062
                     27,                0.87019,                 1.5245,                0.74418,                 1.1598,                0.87669,                0.82018,                0.87185,                0.67031,                0.76286,                 0.6765,                0.64555,                0.48053,                0.90916,                 1.8112,                0.74689,                 1.0598,             0.00092825,             0.00092825,             0.00092825
                     28,                0.87248,                 1.5575,                0.74302,                 1.1633,                 0.9009,                0.83581,                0.88134,                0.68242,                0.75946,                0.70719,                0.65489,                0.47981,                0.88884,                 1.8683,                0.73156,                 1.0513,             0.00091588,             0.00091588,             0.00091588
                     29,                0.85965,                 1.4786,                0.71046,                 1.1617,                0.89657,                 0.8522,                0.88423,                0.71217,                0.76377,                0.72174,                0.65663,                0.49325,                0.80731,                 1.7608,                0.68003,                 1.0295,              0.0009035,              0.0009035,              0.0009035
                     30,                0.83601,                 1.4595,                0.70309,                 1.1472,                 0.8967,                0.85352,                0.88915,                 0.7074,                0.75945,                0.70461,                0.66033,                0.51382,                0.84266,                 1.7076,                0.66939,                 1.0414,             0.00089112,             0.00089112,             0.00089112
                     31,                0.84664,                 1.4893,                0.71135,                 1.1611,                0.90363,                0.84194,                0.89295,                0.70421,                0.76151,                0.71354,                0.66012,                0.49855,                0.81917,                 1.7068,                0.66514,                 1.0221,             0.00087875,             0.00087875,             0.00087875
                     32,                0.83991,                 1.4795,                0.69828,                 1.1468,                  0.893,                0.86736,                0.88336,                0.70833,                0.75585,                0.73137,                0.65623,                0.50033,                 0.8382,                 1.7147,                0.67442,                 1.0384,             0.00086637,             0.00086637,             0.00086637
                     33,                0.83976,                 1.4495,                0.68986,                 1.1396,                0.92834,                0.80169,                0.87637,                0.71058,                0.78634,                0.67605,                0.64204,                0.50028,                0.79099,                 1.6662,                0.67862,                 1.0207,               0.000854,               0.000854,               0.000854
                     34,                0.81938,                 1.4329,                0.67279,                 1.1277,                0.92293,                0.83146,                0.88475,                0.72051,                0.76838,                0.70439,                0.64649,                0.49211,                0.78544,                 1.5611,                0.64226,                 1.0063,             0.00084162,             0.00084162,             0.00084162
                     35,                0.84975,                 1.4427,                0.68939,                 1.1538,                0.91934,                0.87096,                0.89534,                0.69395,                0.76267,                0.72081,                0.65548,                0.48759,                0.83727,                 1.6582,                0.66194,                 1.0247,             0.00082925,             0.00082925,             0.00082925
                     36,                0.81477,                 1.4408,                0.67761,                 1.1315,                0.91362,                0.85793,                0.89871,                0.70403,                0.78081,                0.72014,                0.66056,                0.49947,                0.85968,                 1.5838,                0.64581,                 1.0277,             0.00081688,             0.00081688,             0.00081688
                     37,                0.80624,                 1.3586,                0.65199,                 1.1147,                0.91196,                 0.8556,                0.89577,                0.72028,                 0.7705,                0.71348,                0.65336,                0.50068,                0.82923,                 1.7313,                0.63395,                 1.0221,              0.0008045,              0.0008045,              0.0008045
                     38,                0.80617,                 1.4082,                  0.664,                 1.1123,                0.93178,                 0.8439,                0.89577,                0.72793,                0.80337,                0.70999,                0.66496,                0.51717,                0.78739,                 1.6308,                0.62103,                0.99524,             0.00079213,             0.00079213,             0.00079213
                     39,                0.80021,                 1.3655,                 0.6524,                 1.1101,                0.92885,                0.85753,                0.90137,                0.72447,                0.78312,                0.72196,                0.67062,                0.51692,                0.80227,                 1.5521,                0.61942,                 1.0105,             0.00077975,             0.00077975,             0.00077975
                     40,                0.81387,                 1.3739,                0.65664,                 1.1298,                0.92524,                0.84874,                0.89409,                0.74032,                0.79394,                0.72599,                0.66785,                0.51914,                0.74186,                  1.481,                0.62071,                 1.0022,             0.00076738,             0.00076738,             0.00076738
                     41,                0.79715,                 1.3577,                0.64563,                 1.1054,                0.91566,                0.87247,                0.89607,                0.73049,                0.77612,                0.73636,                0.66298,                0.50442,                 0.7364,                 1.5857,                0.64204,                0.96275,               0.000755,               0.000755,               0.000755
                     42,                0.78744,                 1.3036,                0.63624,                 1.1139,                0.91859,                0.86911,                0.90101,                0.73507,                0.80253,                0.72543,                 0.6659,                0.51283,                0.76226,                 1.6133,                0.61348,                0.98531,             0.00074263,             0.00074263,             0.00074263
                     43,                0.80338,                 1.3909,                0.64626,                 1.1097,                0.90784,                0.85407,                0.89494,                0.70771,                0.75768,                0.70859,                0.65001,                0.48522,                0.82299,                 1.6807,                0.62143,                 1.0029,             0.00073025,             0.00073025,             0.00073025
                     44,                 0.7923,                 1.3536,                0.64159,                 1.1067,                0.93095,                0.86412,                0.89259,                0.73436,                0.78343,                0.71411,                0.65159,                0.51549,                0.73743,                 1.4621,                0.58783,                0.97555,             0.00071788,             0.00071788,             0.00071788
                     45,                0.76335,                 1.3404,                0.61889,                 1.0908,                0.94075,                0.86277,                0.90152,                0.74401,                0.80348,                0.73458,                0.67686,                0.52568,                0.75549,                  1.533,                0.57863,                0.97938,              0.0007055,              0.0007055,              0.0007055
                     46,                0.77569,                 1.3404,                0.63412,                 1.1052,                0.93152,                0.86465,                0.89967,                0.73188,                0.79171,                0.72263,                0.66582,                0.50671,                 0.7647,                 1.6237,                0.62105,                0.97639,             0.00069313,             0.00069313,             0.00069313
